Name,Official Website
Ameren,http://www.ameren.com/Media/Pages/FactsaboutAmeren.aspx
American Airlines Group,http://www.bizjournals.com/charlotte/news/2012/01/26/us-airways-ceo-confirms-interest-in.html
American Electric Power,http://www.rtknet.org/new/tox100/toxic100.php?company1=1233&chemfac=chem&advbasic=bas
American Express,https://catalogue.bnf.fr/ark:/12148/cb15155659k
American International Group,http://news.bbc.co.uk/2/hi/business/7621574.stm
American Tower,http://americantower.com/
American Water Works,http://www.amwater.com/
Ameriprise Financial,http://investmentasia.net/retail-funds/news/threadneedle-acquires-world-express-funds
AmerisourceBergen,http://www.amerisourcebergen.com/investor/phoenix.zhtml?c=61181&p=irol-newsArticle&ID=203110
Ametek,http://www.ametek.com/about/index.aspx
Amgen,http://www.amgen.com/
Amphenol,https://www.amphenol-gis.com/amphenol/
Analog Devices,http://www.analog.com/en/corporate/historical-timeline/content/index.html
Ansys,http://www.develop3d.com/reviews/review-ansys-workbench-15
Aon,https://www.nyse.com/quote/XNYS:AON
APA Corporation,https://www.nytimes.com/1981/03/05/business/market-place-the-apache-partnership.html
Apple Inc.,https://www.sec.gov/ix?doc=/Archives/edgar/data/0000320193/000032019324000123/aapl-20240928.htm
Applied Materials,http://www.appliedmaterials.com/news/articles/applied-materials-appoints-omkaram-nalamasu-chief-technology-officer
Aptiv,http://www.peri.umass.edu/Toxic-100-Table.265.0.html
Arch Capital Group,https://www.archcapgroup.com/About-Arch
Arista Networks,http://eos.aristanetworks.com/2011/08/management-over-xmpp/
Arthur J. Gallagher & Co.,http://www.ajg.com/
Assurant,https://www.assurant.com/NewsRoom/AllNews/NewsReleases/1999/August/Fortis-completes-acquisition-of-American-Bankers-Insurance-Group-ABI
AT&T,https://www.eff.org/who-has-your-back-2017
Atmos Energy,http://www.pipelineandgasjournal.com/gas-training-takes-giant-leap-forward
Autodesk,http://www.autodesk.com/mediaandentertainment
AutoZone,http://www.autozoneinc.com/about_us/our_company/index.html
AvalonBay Communities,https://www.wsj.com/articles/SB889398509220351500
Avery Dennison,https://www.averydennison.com/
Baker Hughes,https://www.cnbc.com/2016/05/01/halliburton-baker-hughes-set-to-terminate-35b-deal-source.html
Ball Corporation,http://data.rtknet.org/tox100/index.php?search=yes&sortp=&company1=2523&chemfac=chem&advbasic=bas
Bank of America,https://www.bankofamerica.com/
"Bath & Body Works, Inc.",http://www.philly.com/inquirer/business/20070710_Limited_Brands_spins_off_last_of_its_apparel_stores.html
Baxter International,http://www.kypost.com/content/news/commonwealth/story/Conway-Announces-Multi-Million-Dollar-Settlement/srxPJ5GaiU2gqFfhozY9-g.cspx
Becton Dickinson,http://www.epa.gov/greenpower/toplists/fortune500.htm
Berkley,
Berkshire Hathaway,https://www.cnbc.com/2016/11/14/buffetts-berkshire-takes-stakes-in-four-major-airlines.html
Best Buy,http://www.startribune.com/opinion/commentaries/198546011.html
Bio-Rad,http://www.genengnews.com/gen-news-highlights/bio-rad-acquires-abd-serotec-from-morphosys/81247777/
Bio-Techne,https://www.bio-techne.com/
Biogen,http://www.fool.com/investing/general/2014/04/07/does-biogen-idec-inc-have-a-new-blockbuster-hemoph.aspx
BlackRock,https://foe.org/news/new-report-confirms-blackrocks-big-fossil-fuel-problem/
BNY Mellon,"http://business.guardian.co.uk/story/0,,1963954,00.html"
Boeing,http://www.boeing.com/company/general-info/
Booking Holdings,http://www.businessinsider.com/priceline-jeff-boyd-2012-1
BorgWarner,https://www.autonews.com/article/20180611/OEM02/180619977/growth-key-for-next-borgwarner-ceo
Boston Properties,https://www.nyse.com/quote/XNYS:BXP
Boston Scientific,https://web.archive.org/web/20160226180051/http://www.bostonscientific.com/en-US/products/defibrillators/emblem-s-icd-system.html
Bristol Myers Squibb,http://www.busrep.co.za/index.php?fSectionId=565&fArticleId=3367635
Broadcom Inc.,http://www.contracostatimes.com/news/ci_24735867/avago-offers-6-6-billion-san-jose-chipmaker
Broadridge Financial Solutions,http://broadridge.com/
Brown & Brown,https://www.nyse.com/quote/XNYS:BRO
BrownForman,http://www.just-drinks.com/article.aspx?ID=92353&lk=fs
Bunge Limited,http://www.insideindianabusiness.com/newsitem.asp?id=2359
C.H. Robinson,http://mobile.businessinsider.com/goldman-sachs-thinks-these-are-the-ten-highest-quality-stocks-in-the-world-2011-10
